fecha,producto_id,sucursal,unidades_vendidas,precio_unitario
2024-01-01,P1,Centro,23,6.19
2024-01-01,P2,Centro,17,8.51
2024-01-01,P3,Centro,23,9.4
2024-01-01,P4,Centro,18,3.12
2024-01-01,P5,Centro,28,3.7
2024-01-01,P6,Centro,25,6.81
2024-01-01,P7,Centro,17,3.21
2024-01-01,P8,Centro,17,5.03
2024-01-01,P9,Centro,16,3.41
2024-01-01,P10,Centro,15,1.93
2024-01-01,P1,Norte,10,8.46
2024-01-01,P2,Norte,18,4.97
2024-01-01,P3,Norte,21,7.56
2024-01-01,P4,Norte,27,1.8
2024-01-01,P5,Norte,24,5.61
2024-01-01,P6,Norte,25,7.34
2024-01-01,P7,Norte,24,2.12
2024-01-01,P8,Norte,21,2.71
2024-01-01,P9,Norte,27,5.19
2024-01-01,P10,Norte,19,2.13
2024-01-01,P1,Sur,21,7.97
2024-01-01,P2,Sur,17,9.66
2024-01-01,P3,Sur,24,1.8
2024-01-01,P4,Sur,15,2.68
2024-01-01,P5,Sur,24,2.37
2024-01-01,P6,Sur,23,3.68
2024-01-01,P7,Sur,25,6.02
2024-01-01,P8,Sur,20,8.35
2024-01-01,P9,Sur,24,4.77
2024-01-01,P10,Sur,22,8.51
2024-01-02,P1,Centro,21,2.69
2024-01-02,P2,Centro,30,2.21
2024-01-02,P3,Centro,25,1.59
2024-01-02,P4,Centro,17,8.41
2024-01-02,P5,Centro,17,9.37
2024-01-02,P6,Centro,15,4.71
2024-01-02,P7,Centro,16,9.94
2024-01-02,P8,Centro,18,8.23
2024-01-02,P9,Centro,21,3.06
2024-01-02,P10,Centro,21,5.14
2024-01-02,P1,Norte,24,8.96
2024-01-02,P2,Norte,23,9.85
2024-01-02,P3,Norte,24,6.94
2024-01-02,P4,Norte,22,3.64
2024-01-02,P5,Norte,14,8.34
2024-01-02,P6,Norte,24,7.66
2024-01-02,P7,Norte,19,7.39
2024-01-02,P8,Norte,15,3.85
2024-01-02,P9,Norte,24,9.04
2024-01-02,P10,Norte,26,3.72
2024-01-02,P1,Sur,24,8.16
2024-01-02,P2,Sur,15,3.75
2024-01-02,P3,Sur,15,6.97
2024-01-02,P4,Sur,29,3.15
2024-01-02,P5,Sur,21,2.24
2024-01-02,P6,Sur,21,1.6
2024-01-02,P7,Sur,17,2.88
2024-01-02,P8,Sur,21,4.51
2024-01-02,P9,Sur,19,8.74
2024-01-02,P10,Sur,17,9.65
2024-01-03,P1,Centro,17,7.82
2024-01-03,P2,Centro,12,6.1
2024-01-03,P3,Centro,20,7.0
2024-01-03,P4,Centro,15,4.71
2024-01-03,P5,Centro,15,8.51
2024-01-03,P6,Centro,18,3.25
2024-01-03,P7,Centro,18,4.89
2024-01-03,P8,Centro,16,7.63
2024-01-03,P9,Centro,19,6.17
2024-01-03,P10,Centro,19,6.99
2024-01-03,P1,Norte,24,2.27
2024-01-03,P2,Norte,19,9.45
2024-01-03,P3,Norte,20,10.0
2024-01-03,P4,Norte,30,3.84
2024-01-03,P5,Norte,19,6.49
2024-01-03,P6,Norte,16,5.0
2024-01-03,P7,Norte,22,4.32
2024-01-03,P8,Norte,17,2.99
2024-01-03,P9,Norte,19,2.59
2024-01-03,P10,Norte,25,5.72
2024-01-03,P1,Sur,23,7.69
2024-01-03,P2,Sur,20,3.17
2024-01-03,P3,Sur,11,7.16
2024-01-03,P4,Sur,19,4.06
2024-01-03,P5,Sur,28,8.71
2024-01-03,P6,Sur,21,3.85
2024-01-03,P7,Sur,28,1.62
2024-01-03,P8,Sur,22,9.04
2024-01-03,P9,Sur,18,9.81
2024-01-03,P10,Sur,19,9.46
2024-01-04,P1,Centro,16,3.62
2024-01-04,P2,Centro,26,1.76
2024-01-04,P3,Centro,18,2.78
2024-01-04,P4,Centro,19,4.34
2024-01-04,P5,Centro,18,5.88
2024-01-04,P6,Centro,21,7.34
2024-01-04,P7,Centro,21,7.44
2024-01-04,P8,Centro,21,9.58
2024-01-04,P9,Centro,21,8.07
2024-01-04,P10,Centro,22,9.51
2024-01-04,P1,Norte,23,3.5
2024-01-04,P2,Norte,22,9.93
2024-01-04,P3,Norte,19,8.58
2024-01-04,P4,Norte,16,6.45
2024-01-04,P5,Norte,18,9.9
2024-01-04,P6,Norte,14,4.33
2024-01-04,P7,Norte,17,7.97
2024-01-04,P8,Norte,25,7.72
2024-01-04,P9,Norte,19,9.14
2024-01-04,P10,Norte,14,5.17
2024-01-04,P1,Sur,21,6.98
2024-01-04,P2,Sur,22,8.47
2024-01-04,P3,Sur,24,2.07
2024-01-04,P4,Sur,17,5.25
2024-01-04,P5,Sur,11,4.08
2024-01-04,P6,Sur,22,2.02
2024-01-04,P7,Sur,21,2.18
2024-01-04,P8,Sur,29,3.63
2024-01-04,P9,Sur,25,9.42
2024-01-04,P10,Sur,19,2.26
2024-01-05,P1,Centro,19,3.02
2024-01-05,P2,Centro,20,4.71
2024-01-05,P3,Centro,25,8.07
2024-01-05,P4,Centro,18,3.29
2024-01-05,P5,Centro,21,4.1
2024-01-05,P6,Centro,24,1.94
2024-01-05,P7,Centro,19,5.93
2024-01-05,P8,Centro,24,4.59
2024-01-05,P9,Centro,20,7.82
2024-01-05,P10,Centro,26,1.89
2024-01-05,P1,Norte,15,3.04
2024-01-05,P2,Norte,18,5.61
2024-01-05,P3,Norte,24,9.4
2024-01-05,P4,Norte,10,6.81
2024-01-05,P5,Norte,21,3.34
2024-01-05,P6,Norte,21,3.41
2024-01-05,P7,Norte,16,5.03
2024-01-05,P8,Norte,18,3.06
2024-01-05,P9,Norte,17,2.23
2024-01-05,P10,Norte,23,3.5
2024-01-05,P1,Sur,27,9.51
2024-01-05,P2,Sur,15,6.4
2024-01-05,P3,Sur,12,9.27
2024-01-05,P4,Sur,22,5.25
2024-01-05,P5,Sur,25,6.34
2024-01-05,P6,Sur,23,9.63
2024-01-05,P7,Sur,19,8.3
2024-01-05,P8,Sur,18,9.36
2024-01-05,P9,Sur,9,7.74
2024-01-05,P10,Sur,23,6.45
2024-01-06,P1,Centro,25,2.24
2024-01-06,P2,Centro,19,1.65
2024-01-06,P3,Centro,19,6.79
2024-01-06,P4,Centro,26,4.68
2024-01-06,P5,Centro,24,6.26
2024-01-06,P6,Centro,24,5.04
2024-01-06,P7,Centro,22,7.63
2024-01-06,P8,Centro,28,8.68
2024-01-06,P9,Centro,30,5.15
2024-01-06,P10,Centro,22,1.69
2024-01-06,P1,Norte,14,3.25
2024-01-06,P2,Norte,20,3.66
2024-01-06,P3,Norte,21,5.64
2024-01-06,P4,Norte,18,5.59
2024-01-06,P5,Norte,12,7.79
2024-01-06,P6,Norte,16,5.64
2024-01-06,P7,Norte,24,2.26
2024-01-06,P8,Norte,13,3.1
2024-01-06,P9,Norte,19,8.19
2024-01-06,P10,Norte,20,8.11
2024-01-06,P1,Sur,19,9.51
2024-01-06,P2,Sur,15,9.65
2024-01-06,P3,Sur,29,4.88
2024-01-06,P4,Sur,24,1.55
2024-01-06,P5,Sur,12,9.0
2024-01-06,P6,Sur,23,5.5
2024-01-06,P7,Sur,20,9.25
2024-01-06,P8,Sur,14,4.35
2024-01-06,P9,Sur,27,8.29
2024-01-06,P10,Sur,26,3.58
2024-01-07,P1,Centro,23,4.55
2024-01-07,P2,Centro,25,3.72
2024-01-07,P3,Centro,21,2.23
2024-01-07,P4,Centro,25,7.25
2024-01-07,P5,Centro,19,2.48
2024-01-07,P6,Centro,22,6.03
2024-01-07,P7,Centro,15,8.04
2024-01-07,P8,Centro,18,5.2
2024-01-07,P9,Centro,12,3.49
2024-01-07,P10,Centro,18,5.56
2024-01-07,P1,Norte,19,6.94
2024-01-07,P2,Norte,18,2.39
2024-01-07,P3,Norte,27,7.51
2024-01-07,P4,Norte,21,7.9
2024-01-07,P5,Norte,16,2.66
2024-01-07,P6,Norte,18,2.07
2024-01-07,P7,Norte,19,6.09
2024-01-07,P8,Norte,17,8.5
2024-01-07,P9,Norte,25,8.04
2024-01-07,P10,Norte,19,8.54
2024-01-07,P1,Sur,24,5.89
2024-01-07,P2,Sur,19,4.51
2024-01-07,P3,Sur,25,8.05
2024-01-07,P4,Sur,15,8.85
2024-01-07,P5,Sur,16,9.35
2024-01-07,P6,Sur,20,6.54
2024-01-07,P7,Sur,22,9.1
2024-01-07,P8,Sur,16,9.39
2024-01-07,P9,Sur,22,4.46
2024-01-07,P10,Sur,17,3.85
2024-01-08,P1,Centro,21,8.77
2024-01-08,P2,Centro,12,8.75
2024-01-08,P3,Centro,11,6.06
2024-01-08,P4,Centro,16,9.84
2024-01-08,P5,Centro,18,8.22
2024-01-08,P6,Centro,18,2.74
2024-01-08,P7,Centro,18,9.34
2024-01-08,P8,Centro,25,7.75
2024-01-08,P9,Centro,23,1.99
2024-01-08,P10,Centro,17,7.99
2024-01-08,P1,Norte,17,3.14
2024-01-08,P2,Norte,14,9.85
2024-01-08,P3,Norte,16,9.38
2024-01-08,P4,Norte,21,8.18
2024-01-08,P5,Norte,18,4.41
2024-01-08,P6,Norte,20,5.25
2024-01-08,P7,Norte,15,3.4
2024-01-08,P8,Norte,19,4.65
2024-01-08,P9,Norte,15,4.88
2024-01-08,P10,Norte,14,5.61
2024-01-08,P1,Sur,30,7.81
2024-01-08,P2,Sur,22,6.12
2024-01-08,P3,Sur,21,5.42
2024-01-08,P4,Sur,21,8.27
2024-01-08,P5,Sur,10,6.4
2024-01-08,P6,Sur,19,5.44
2024-01-08,P7,Sur,21,7.36
2024-01-08,P8,Sur,17,4.44
2024-01-08,P9,Sur,25,8.76
2024-01-08,P10,Sur,21,3.1
2024-01-09,P1,Centro,25,4.84
2024-01-09,P2,Centro,21,4.01
2024-01-09,P3,Centro,17,8.85
2024-01-09,P4,Centro,27,4.92
2024-01-09,P5,Centro,23,8.3
2024-01-09,P6,Centro,13,9.7
2024-01-09,P7,Centro,18,1.68
2024-01-09,P8,Centro,20,4.35
2024-01-09,P9,Centro,24,3.32
2024-01-09,P10,Centro,15,1.92
2024-01-09,P1,Norte,17,2.84
2024-01-09,P2,Norte,22,9.04
2024-01-09,P3,Norte,25,9.59
2024-01-09,P4,Norte,20,4.81
2024-01-09,P5,Norte,19,1.54
2024-01-09,P6,Norte,26,6.16
2024-01-09,P7,Norte,16,8.35
2024-01-09,P8,Norte,13,4.4
2024-01-09,P9,Norte,25,7.67
2024-01-09,P10,Norte,21,2.63
2024-01-09,P1,Sur,16,1.65
2024-01-09,P2,Sur,17,5.33
2024-01-09,P3,Sur,19,9.55
2024-01-09,P4,Sur,23,8.06
2024-01-09,P5,Sur,22,7.03
2024-01-09,P6,Sur,21,8.17
2024-01-09,P7,Sur,22,7.02
2024-01-09,P8,Sur,22,8.34
2024-01-09,P9,Sur,30,4.14
2024-01-09,P10,Sur,21,7.11
2024-01-10,P1,Centro,23,7.55
2024-01-10,P2,Centro,15,7.84
2024-01-10,P3,Centro,21,9.03
2024-01-10,P4,Centro,20,1.96
2024-01-10,P5,Centro,24,8.05
2024-01-10,P6,Centro,17,5.24
2024-01-10,P7,Centro,16,1.66
2024-01-10,P8,Centro,23,8.69
2024-01-10,P9,Centro,18,5.61
2024-01-10,P10,Centro,18,9.09
2024-01-10,P1,Norte,26,9.98
2024-01-10,P2,Norte,14,6.77
2024-01-10,P3,Norte,22,3.73
2024-01-10,P4,Norte,17,9.05
2024-01-10,P5,Norte,18,8.2
2024-01-10,P6,Norte,18,3.03
2024-01-10,P7,Norte,16,8.59
2024-01-10,P8,Norte,18,9.14
2024-01-10,P9,Norte,17,9.74
2024-01-10,P10,Norte,16,8.59
2024-01-10,P1,Sur,16,8.18
2024-01-10,P2,Sur,26,9.12
2024-01-10,P3,Sur,23,3.6
2024-01-10,P4,Sur,19,9.09
2024-01-10,P5,Sur,26,3.89
2024-01-10,P6,Sur,19,6.3
2024-01-10,P7,Sur,13,3.75
2024-01-10,P8,Sur,14,6.17
2024-01-10,P9,Sur,21,2.16
2024-01-10,P10,Sur,17,3.06
2024-01-11,P1,Centro,23,3.32
2024-01-11,P2,Centro,21,7.81
2024-01-11,P3,Centro,20,7.2
2024-01-11,P4,Centro,21,4.77
2024-01-11,P5,Centro,18,8.83
2024-01-11,P6,Centro,23,7.19
2024-01-11,P7,Centro,24,3.23
2024-01-11,P8,Centro,15,6.32
2024-01-11,P9,Centro,26,1.84
2024-01-11,P10,Centro,18,2.76
2024-01-11,P1,Norte,17,2.48
2024-01-11,P2,Norte,12,8.95
2024-01-11,P3,Norte,13,7.39
2024-01-11,P4,Norte,21,9.59
2024-01-11,P5,Norte,18,8.58
2024-01-11,P6,Norte,16,8.24
2024-01-11,P7,Norte,21,5.47
2024-01-11,P8,Norte,27,7.29
2024-01-11,P9,Norte,24,7.22
2024-01-11,P10,Norte,22,9.19
2024-01-11,P1,Sur,17,3.29
2024-01-11,P2,Sur,19,9.83
2024-01-11,P3,Sur,19,3.42
2024-01-11,P4,Sur,26,9.28
2024-01-11,P5,Sur,25,1.74
2024-01-11,P6,Sur,22,9.35
2024-01-11,P7,Sur,27,7.5
2024-01-11,P8,Sur,12,9.55
2024-01-11,P9,Sur,14,7.8
2024-01-11,P10,Sur,24,9.42
2024-01-12,P1,Centro,24,7.03
2024-01-12,P2,Centro,20,2.24
2024-01-12,P3,Centro,14,1.56
2024-01-12,P4,Centro,19,4.08
2024-01-12,P5,Centro,16,9.68
2024-01-12,P6,Centro,20,9.53
2024-01-12,P7,Centro,17,3.87
2024-01-12,P8,Centro,16,1.85
2024-01-12,P9,Centro,17,7.42
2024-01-12,P10,Centro,15,3.8
2024-01-12,P1,Norte,19,9.5
2024-01-12,P2,Norte,18,3.9
2024-01-12,P3,Norte,20,5.42
2024-01-12,P4,Norte,20,2.97
2024-01-12,P5,Norte,17,4.37
2024-01-12,P6,Norte,14,4.78
2024-01-12,P7,Norte,17,3.75
2024-01-12,P8,Norte,27,4.46
2024-01-12,P9,Norte,25,6.8
2024-01-12,P10,Norte,19,8.35
2024-01-12,P1,Sur,17,2.97
2024-01-12,P2,Sur,21,8.11
2024-01-12,P3,Sur,17,3.12
2024-01-12,P4,Sur,19,5.93
2024-01-12,P5,Sur,19,9.26
2024-01-12,P6,Sur,18,1.65
2024-01-12,P7,Sur,21,1.67
2024-01-12,P8,Sur,23,5.14
2024-01-12,P9,Sur,11,8.22
2024-01-12,P10,Sur,17,5.08
2024-01-13,P1,Centro,17,7.7
2024-01-13,P2,Centro,26,5.57
2024-01-13,P3,Centro,22,9.39
2024-01-13,P4,Centro,20,2.05
2024-01-13,P5,Centro,17,9.83
2024-01-13,P6,Centro,13,6.4
2024-01-13,P7,Centro,20,8.76
2024-01-13,P8,Centro,14,4.04
2024-01-13,P9,Centro,21,4.56
2024-01-13,P10,Centro,17,6.4
2024-01-13,P1,Norte,16,4.97
2024-01-13,P2,Norte,10,1.66
2024-01-13,P3,Norte,14,3.6
2024-01-13,P4,Norte,21,4.06
2024-01-13,P5,Norte,28,9.06
2024-01-13,P6,Norte,21,5.27
2024-01-13,P7,Norte,24,1.85
2024-01-13,P8,Norte,20,7.62
2024-01-13,P9,Norte,15,6.89
2024-01-13,P10,Norte,17,5.87
2024-01-13,P1,Sur,19,2.87
2024-01-13,P2,Sur,15,7.55
2024-01-13,P3,Sur,15,8.47
2024-01-13,P4,Sur,22,9.24
2024-01-13,P5,Sur,24,9.27
2024-01-13,P6,Sur,14,4.52
2024-01-13,P7,Sur,25,4.93
2024-01-13,P8,Sur,24,8.79
2024-01-13,P9,Sur,13,9.05
2024-01-13,P10,Sur,18,3.19
2024-01-14,P1,Centro,20,3.38
2024-01-14,P2,Centro,18,1.97
2024-01-14,P3,Centro,23,5.85
2024-01-14,P4,Centro,25,3.49
